Username,Name,Description,Avg Betweenness,Avg In Degree,Avg Page Rank,Num Days With Top N Betweenness,Num Days With Top N In Degree,Num Days With Top N Page Rank
kicchasudeep,Kichcha Sudeepa,"A, D, P 🎬",1071633.41022575,154.678571429,19.512524929,11,28,27
khulood_almani,د. خلود صالح المانع | Dr. Khulood Almani #MWC22,#Top 3️⃣ #Tech #World #Influencer #CES2022 #MWC22 التحول_الرقمي #الابتكار |#innovation|#entrepreneurship|#consultant,1116820.98284023,74.387096774,12.059762516,29,31,31
vault_hill,Vault Hill,An extended reality Blockchain-based metaverse designed to make you feel more human.,2487909.32302419,84.952380952,32.296336333,20,21,21
glengilmore,Glen Gilmore | 🥽Metaverse 🕳🐇 #MWC22,"he/him ⚖️ | TIME ""man of action"" 📕Author | Adj 🏛Mayor Emeritus | #TechForGood #SDGs #web3 #Metaverse #5G 🏥 🌍 📆 #MWC22",561490.682805857,34.428571429,4.50372075,16,28,11
shi4tech,Shi4Tech 💙 #TechForGood 💙,"Tech Influencer. Minimalist. Proud supporter of change-makers. #SDGs #AI #TechForGood #Innovation #CyberSecurity #FutureOfWork NO Direct Messages, Please💙",244595.9175832,66.766666667,5.156578467,14,30,18
labordeolivier,Olivier Laborde #StandWithUkraine🇺🇦🇪🇺,Columnist - Author of #Innoveroudisparaitre - #Innovation #Digital Evangelist #CDO #CMO #FinTech #Lab #Intrapreneur - #Rugby #Surf - Tweets are my own,200777.600811034,48.965517241,4.593395897,10,29,13
enricomolinari,🔛 Enrico Molinari #FinTech #MWC2022 🇮🇹🇪🇺🇺🇸,innovation manager & CMO ⭐ university marketing fintech ESG prof ⭐ keynote speaker & journalist ⭐ Top Global FinTech influencer,320224.13885825,34.95,4.6663782,9,18,9
fabriziobustama,Fabrizio Bustamante #MWC22,Vision of the Future! Entrepreneur. #Futureofwork #Blockchain #Al #Crypto #Marketing #Industry40 #Bigdata #Fintech #Cloud #Innovation #ML #AR #IoT #5G,185133.575414667,54.7,4.732641833,9,30,14
adc_vr,ADC 🐉 VBOYFU,🇲🇾 Malaysia Vtuber | 🐉 Water Drago 💦 | Boyfu ✨ | 🍮 Pudding Connoisseur 🌑 | Pronouns: A threat | 🎨 Art #ArtDC | Art 🔞 #ADCake,2451470.54064532,79.677419355,30.319225129,29,31,31
metaquestvr,Meta Quest,Quest Is Ready,4756651.21376245,116.064516129,32.851960871,31,31,31
