Username,Name,Description,Avg Betweenness,Avg In Degree,Avg Page Rank,Num Days With Top N Betweenness,Num Days With Top N In Degree,Num Days With Top N Page Rank
actorvijay,Vijay,The Official Page of Thalapathy Vijay || Maintained by Office of Actor Vijay,426976.7437,41.6,7.90816815,5,20,15
adc_vr,ADC 🐉 VBOYFU,🇲🇾 Malaysia Vtuber | 🐉 Water Drago 💦 | Boyfu ✨ | 🍮 Pudding Connoisseur 🌑 | Pronouns: A threat | 🎨 Art #ArtDC | Art 🔞 #ADCake,2451470.541,79.67741936,30.31922513,29,31,31
afterthefallvr,After the Fall®,"#AftertheFallVR brings 4-player co-op action FPS to VR. Out Now! Developed by , the team that brought you #ArizonaSunshine. Rated M/ PEGI 18",880680.8708,19.92307692,5.318048615,11,8,5
akwyz,🟣 Antonio Vieira Santos #FutureOfWork,Future Of Work Expert. Helping Talent & Customers growth. . 💜 Accessibility 💚 Sustainability 🔍Sociologist🎙,71486.16155,32.05,2.65277345,3,20,2
albertoemachado,Alberto E. Machado #MWC22 #StandWithUkraine,Top #Influencer #CES #COP26 #FITUR #MarketingDigital #SocialMedia #DigitalTransformation #futureofwork #ActOnClimate #TogetherForOurPlanet #NoRoomForRacism,90391.56258,31.42857143,3.069785476,3,21,4
altspacevr,AltspaceVR,AltspaceVR is the place to go for live virtual events and experiences. Connect with cool people and create lasting memories – in both VR and 2D.,668248.3126,21.85714286,4.47836825,24,25,12
analytics_699,Mack,Healthcare Head | Chief Mentor - XPROB | Top 🔟 #EmergingTech #Influencer - #AI #ML #IoT #Cloud #SelfDrivingCars #AR | Top 10 #Influencer #CES2022 #CES2021,170782.1469,29.04166667,3.672878958,9,24,8
anand_narang,Anand Narang,"CMO, Co-founder | Blogger & Speaker | Photographer | Love AI, CX, Metaverse, MarTech & Digital | Ecomm & Retail | Design & Traveling | Dad | Views personal",162062.6548,40,4.02993525,3,12,5
andi_staub,Andreas Staub,Head Corp Development & Digital Transformation _CH #fintech #innovation #behavioraleconomics #insurtech #bigdata #AI _accelerator // IG andistaub,101423.744,25.6,2.497902267,3,15,1
antgrasso,Antonio Grasso,"Entrepreneur, technologist, sustainability passionate | FRSA | Digital creator, B2B influencer | Author, researcher, speaker | Member _tweets| _IT",267065.9968,21.47368421,3.221922053,9,17,2
anupsbhandari,Anup Bhandari,Writer/Director/Music Director/Lyricist/Playback Singer - RangiTaranga Rajaratha(m) Vikrant Rona,584802.7918,117.6956522,13.39893144,8,23,21
arealhumanname1,A_Real_Human_Named_Ash,Learning how to be human by watching movies about androids pretending to be human. Follow me to get free #unity3D assets and hear about #UnityAssetStore deals,592042.2812,1.2,4.80724756,25,0,14
ashamarie18,Asha Easton,London-based ¤ XR enthusiast ¤ Head of _ ¤ Passionate about XR for education & social impact,472713.8783,6.888888889,4.997817667,9,1,6
